ticker,exchange,industry,companyType,noShareholders,foreignPercent,outstandingShare,issueShare,establishedYear,noEmployees,stockRating,deltaInWeek,deltaInMonth,deltaInYear,shortName,industryEn,industryID,industryIDv2,website,datime
SAV,HOSE,Tài nguyên Cơ bản,CT,0,0.502,21.6,22.0,2001.0,1116,2.8,0.094,0.047,0.358,Savimex,Basic Resources,155,1733,http://www.savimex.com.vn,2312091722
SB1,UPCOM,Thực phẩm và đồ uống,CT,1156,0.007,10.5,10.5,2006.0,260,,-0.02,-0.041,0.05,Bia Sài Gòn - Nghệ Tĩnh,Food & Beverage,214,3533,http://www.vidabeer.vn,2312091722
SBG,HOSE,Hàng & Dịch vụ Công nghiệp,CT,246,0.0,25.0,25.0,2015.0,223,,-0.062,,,Tập Đoàn Cơ Khí Công Nghệ Cao Siba,Industrial Goods & Services,185,2727,https://siba.com.vn,2312091722
SBD,UPCOM,Công nghệ Thông tin,CT,0,0.005,13.5,13.5,2004.0,219,,-0.058,0.147,-0.28,Công nghệ Sao Bắc Đẩu,Technology,310,9537,http://www.saobacdau.vn,2312091722
SBH,UPCOM,"Điện, nước & xăng dầu khí đốt",CT,199,0.0,124.2,124.2,2007.0,112,3.3,0.168,0.199,0.613,Thủy điện Sông Ba Hạ,Utilities,274,7535,https://sbh.vn/,2312091722
SAS,UPCOM,Bán lẻ,CT,1124,0.004,133.5,133.5,2015.0,992,2.6,0.009,-0.076,0.239,DV Hàng không sân bay TSN,Retail,253,5379,https://www.sasco.com.vn,2312091722
SBL,UPCOM,Thực phẩm và đồ uống,CT,205,0.001,12.0,12.0,2006.0,108,,-0.033,-0.053,-0.092,Bia Sài Gòn - Bạc Liêu,Food & Beverage,214,3533,http://www.biasaigonbaclieu.com,2312091722
SBS,UPCOM,Dịch vụ tài chính,CK,28119,0.005,146.6,146.6,2006.0,80,2.6,0.008,0.098,0.316,Chứng khoán Sacombank,Financial Services,300,8777,http://www.sbsc.com.vn,2312091722
SBT,HOSE,Thực phẩm và đồ uống,CT,22506,0.152,740.5,740.5,2007.0,2747,2.6,-0.049,-0.09,0.053,Mía đường Thành Thành Công - Biên Hòa,Food & Beverage,218,3577,http://www.ttcagris.com.vn,2312091722
SBM,UPCOM,Xây dựng và Vật liệu,CT,0,0.0,45.0,45.0,2007.0,107,2.8,-0.02,-0.034,-0.027,Đầu tư PT Bắc Minh,Construction & Materials,181,2357,http://sbm.com.vn,2312091722
SBR,UPCOM,Hóa chất,CT,0,0.0,81.4,81.4,2010.0,1109,2.3,-0.02,0.565,0.182,Cao su Sông Bé,Chemicals,150,1353,http://caosusongbe.vn,2312091722
SC5,HOSE,Xây dựng và Vật liệu,CT,1323,0.031,15.0,15.0,2003.0,282,2.0,-0.02,-0.011,0.077,Xây dựng Số 5,Construction & Materials,181,2357,http://www.sc5.vn,2312091722
SCC,UPCOM,Xây dựng và Vật liệu,CT,530,0.005,4.8,4.9,2002.0,9,,-0.02,0.046,-0.274,Thương mại Đầu tư SHB,Construction & Materials,180,2353,http://www.ximangsongda.vn,2312091722
SBV,HOSE,Bán lẻ,CT,481,0.147,27.3,27.4,2008.0,533,2.7,-0.021,-0.015,-0.158,Siam Brothers Việt Nam,Retail,253,5379,http://www.siambrothersvn.com,2312091722
SCD,HOSE,Thực phẩm và đồ uống,CT,516,0.068,8.5,8.5,2003.0,278,2.1,-0.027,-0.084,-0.194,Giải khát Chương Dương,Food & Beverage,216,3537,https://www.cdbeco.com.vn,2312091722
SCJ,UPCOM,Xây dựng và Vật liệu,CT,0,0.002,57.8,57.8,2003.0,296,2.3,0.03,0.094,0.32,Xi măng Sài Sơn,Construction & Materials,180,2353,http://ximangsaison.com,2312091722
SCG,HNX,Xây dựng và Vật liệu,CT,207,0.0,85.0,85.0,2019.0,482,2.3,-0.006,-0.045,-0.103,Xây dựng SCG,Construction & Materials,181,2357,https://scgr.vn,2312091722
SCI,HNX,Xây dựng và Vật liệu,CT,335,0.009,25.4,25.4,2010.0,466,2.3,0.012,0.026,0.175,SCI E&C,Construction & Materials,181,2357,http://scigroup.vn,2312091722
SCO,UPCOM,Hàng & Dịch vụ Công nghiệp,CT,131,0.0,4.1,4.2,1984.0,41,,-0.02,-0.299,-0.08,Công nghiệp Thủy Sản,Industrial Goods & Services,189,2757,http://www.seameco.com.vn,2312091722
